,Unnamed: 0,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
8861,8861,176.0,Đông-Nam,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,"Bếp và bàn ăn, sofa tại phòng khách - đệm giường và bàn học trong phòng ngủ.",Tây-Bắc,Sổ đỏ chính chủ.,21.0199333,105.916286,4224.0,24.0,,,5e958ee9208d0d6d7648fcb3,Đường Thạch Bàn,,,5e5501cbeb80a7245175e114,Phường Thạch Bàn
8862,8862,82.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,9.0,,,,,21.0390218,105.9078403,1700.0,20.731707,,,5e958ee9208d0d6d7648fbda,Đường Huỳnh Văn Nghệ,,,5e5501cbeb80a7245175e115,Phường Phúc Đồng
8863,8863,73.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,10.0,,,Nam,Sổ đỏ,21.0566434,105.9132166,2000.0,27.39726,,,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10b,Phường Giang Biên
8864,8864,86.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,11.0,,,Đông Nam,Sổ hồng,21.0512143,105.8965589,2287.0,26.593023,,,5e958ee9208d0d6d7648fafa,Đường 1,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8865,8865,70.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,,21.0216695,105.9141793,1470.0,21.0,5e5501fbeb80a7245176a796,Thạch Bàn,5e958ee9208d0d6d7648fb21,Đường Bát Khối,,,5e5501cbeb80a7245175e114,Phường Thạch Bàn
8866,8866,69.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,11.0,,,,Sổ hồng,21.0437208,105.9259271,1380.0,20.0,,,5e958ee9208d0d6d7648fc92,Đường Phúc Lợi,,,5e5501cbeb80a7245175e110,Phường Phúc Lợi
8867,8867,56.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,15.0,,,,Sổ hồng,21.0739281,105.8973716,890.0,15.892857,5e5501fbeb80a7245176a783,Khu đô thị Thượng Thanh,,,,,5e5501cbeb80a7245175e109,Phường Thượng Thanh
8868,8868,71.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,20.0,,,,Hợp đồng mua bán,21.0388447,105.8761949,2790.0,39.295775,5e5501fbeb80a7245176a77c,HC Golden City,5e958ee9208d0d6d7648fb38,Đường Bồ Đề,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
8869,8869,42.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,16.0,,,,,21.0273956,105.8950695,570.0,13.571429,,,5e958ee9208d0d6d7648fb3c,Đường Cổ Linh,,,5e5501cbeb80a7245175e113,Phường Long Biên
8870,8870,143.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,8.0,,,,,21.0548635,105.8884966,1560.0,10.909091,,,,,,,,
